Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
DOGE,12/31/2020,0.004637148,0.004522891,0.004754577,0.004429649
DOGE,1/1/2021,0.004740907,0.004668718,0.004795864,0.004491983
DOGE,1/2/2021,0.005404803,0.004665241,0.005516086,0.004620678
DOGE,1/3/2021,0.011426605,0.005680633,0.013892366,0.005549964
DOGE,1/4/2021,0.010045668,0.010449783,0.013906567,0.009240293
DOGE,1/5/2021,0.009630374,0.009694499,0.011450488,0.00765374
DOGE,1/6/2021,0.009729501,0.009779416,0.010278821,0.008835074
DOGE,1/7/2021,0.010356947,0.010007746,0.011056221,0.009655487
DOGE,1/8/2021,0.009781281,0.010417057,0.010608012,0.009430943
DOGE,1/9/2021,0.009748804,0.009745655,0.009858582,0.008907778
DOGE,1/10/2021,0.01024942,0.009831976,0.010707801,0.009597771
DOGE,1/11/2021,0.009974879,0.010147182,0.010878914,0.008920345
DOGE,1/12/2021,0.008229174,0.009776693,0.009844625,0.006728849
DOGE,1/13/2021,0.008113542,0.008832831,0.009181302,0.007822668
DOGE,1/14/2021,0.008441892,0.008102511,0.008758048,0.007738164
DOGE,1/15/2021,0.009170519,0.008661439,0.010153303,0.008321404
DOGE,1/16/2021,0.009324165,0.009376639,0.009886666,0.008323829
DOGE,1/17/2021,0.009229429,0.009333513,0.009590929,0.009034836
DOGE,1/18/2021,0.009173034,0.009270364,0.009388323,0.008742908
DOGE,1/19/2021,0.009134601,0.009131731,0.009329705,0.008928166
DOGE,1/20/2021,0.009262187,0.00922894,0.009720382,0.008950459
DOGE,1/21/2021,0.00897946,0.009083712,0.009186247,0.008491961
DOGE,1/22/2021,0.008102872,0.009067638,0.009106059,0.007994134
DOGE,1/23/2021,0.008607149,0.008193383,0.008777423,0.007587981
DOGE,1/24/2021,0.008516098,0.008479797,0.008836924,0.008341329
DOGE,1/25/2021,0.008726821,0.00852814,0.009005584,0.008483593
DOGE,1/26/2021,0.008377609,0.008768522,0.008883153,0.008165699
DOGE,1/27/2021,0.008194668,0.008352889,0.008467869,0.007965244
DOGE,1/28/2021,0.007431583,0.008295067,0.008295796,0.007249931
DOGE,1/29/2021,0.023535063,0.007473426,0.027323131,0.00727946
DOGE,1/30/2021,0.051793246,0.036903282,0.0792251,0.027538627
DOGE,1/31/2021,0.032304261,0.045895773,0.050656725,0.022179629
DOGE,2/1/2021,0.037287471,0.028309836,0.046238385,0.02682351
DOGE,2/2/2021,0.033748913,0.037031052,0.043794976,0.033288991
DOGE,2/3/2021,0.031479188,0.034834199,0.035306083,0.030193507
